Helyiség;Kategória;Szint;Termék;Bolt;Hol kapható;Anyag / szín;Méret;Ár (Ft);Ármegjegyzés;Javasolt db;Összesen (Ft);Link;Miért illik;Mire figyelj;Ellenőrzés módja;Ellenőrizve;Link állapot;Pénznem;Eredeti ár;Eredeti részösszeg;Készlet / feltétel;Forintos költségútban;Ajánlás feltétele;Beköltözési prioritás;Prioritás indoka;Prioritás feltétele;Költségkizárás indoka
00-altalanos-hangulat;Babavédelem – ajtó-/ujjvédő;ajánlott;PATRULL ajtótámasz, fehér;IKEA;online + áruház (Budaörs, Örs vezér tere, Soroksár);"fehér acetál/ABS műanyag, szintetikus gumi talp; az ajtó alsó élére pattintható";"2 db/csomag; max. 4,5 cm vastag ajtóra, 1,2–3,5 cm padlóhézaghoz";1990;/csomag (2 db);3;5970;https://www.ikea.com/hu/hu/p/patrull-ajtotamasz-feher-90599551/;"Megakadályozza, hogy az ajtó becsapódjon és becsípje a baba ujját; fehér, a krém bézs ajtó alján alig feltűnő, fúrás nélkül felrakható.";Csak akkor működik, ha az ajtó és a padló között 1,2–3,5 cm a hézag – a beltéri ajtóknál mérd le. A zsanér felőli rést nem védi.;termékoldal;2026-09-20;200;HUF;1990;5970;;igen;;Prio 1;A ténylegesen szükséges ajtóvédelem a gyerek által használt terekhez tartozik.;"A helyszínen szükséges és a bútorhoz/szerelvényhez megfelelő védelem P1; nem automatikusan minden listázott darab.";
00-altalanos-hangulat;Babavédelem – bútorrögzítő;ajánlott;Reer bútorrögzítő heveder kétféle rögzítéssel, 2 db-os szett;Gyerekbiztos.hu;"csak online (gyerekbiztos.hu; szállítás 1 290 Ft)";"fehér, állítható heveder feszítőcsattal; ragasztással vagy csavarozással rögzíthető; a bútor mögött rejtve";2 db heveder/szett;8990;/szett (2 db), akciós, eredeti 9 990 Ft;2;17980;https://www.gyerekbiztos.hu/butorrogzito-heveder-ketfele-rogzitessel-703;Az irányelv szerint a magas, keskeny bútort falhoz kell rögzíteni: ez a nem IKEA-s komódokhoz, könyvespolchoz, TV-hez való márkás (Reer) heveder, a bútor mögött nem látszik.;Drága a no-name szettekhez képest. Az IKEA bútorokhoz gyári falrögzítő jár – azokhoz nem kell. Téglafalba mindig csavarozd (tipli), a ragasztós rögzítés csak könnyű bútorra elég.;termékoldal;2026-09-20;200;HUF;8990;17980;;igen;;Prio 1;A beköltözéskor használt, rögzítést igénylő bútorokat használat előtt rögzíteni kell.;"A helyszínen szükséges és a bútorhoz/szerelvényhez megfelelő védelem P1; nem automatikusan minden listázott darab.";
00-altalanos-hangulat;Babavédelem – konnektorvédő;ajánlott;PATRULL biztonsági dugó, fehér;IKEA;online + áruház (Budaörs, Örs vezér tere, Soroksár);"fehér műanyag vakdugó, piros kulccsal eltávolítható; földelt és földeletlen aljzatba";12 db/csomag;995;/csomag (12 db);3;2985;https://www.ikea.com/hu/hu/p/patrull-biztonsagi-dugo-feher-70599552/;Fehér, síkba simuló dugó – a fehér falon és fehér szerelvényen nem látszik. Egy ~120 m²-es házba kb. 3 csomag kell a gyerekmagasságban lévő aljzatokra.;A kulcs (piros dugó) kicsi, könnyen elkeveredik – tegyél egyet a konyhába, egyet a háló környékére. Új építésnél érdemes ellenőrizni, nem gyerekvédett-e eleve az aljzat (akkor nem kell).;termékoldal;2026-09-20;200;HUF;995;2985;;igen;;Prio 1;A hozzáférhető aljzatok megfelelő védelmét beköltözéskor kell rendezni.;"A helyszínen szükséges és a bútorhoz/szerelvényhez megfelelő védelem P1; nem automatikusan minden listázott darab.";
00-altalanos-hangulat;Babavédelem – sarokvédő;ajánlott;BabyOno Sarokvédő, átlátszó, 4 db;Babaszafari;csak online (babaszafari.hu);puha, átlátszó szilikon, öntapadós rögzítés;4 db/csomag, Ø kb. 3,3 cm;890;/csomag (4 db);4;3560;https://babaszafari.hu/BabyOno-sarokvedo-atlatszo-4-db;Átlátszó, ezért a fa dohányzóasztalon, a TV-szekrényen és a kő konyhapult sarkán szinte nem látszik – nem töri meg a tölgy–kő–fehér palettát. Az irányelv külön kiemeli a pult és a sziget gyerekmagasságú sarkát.;"Kicsi (Ø 3,3 cm) – vastag pultsarokra kevés lehet; olajozott fán és porózus kövön a ragasztó gyengébben tapad, zsírtalanítás kell. Eltávolításkor ragasztónyom maradhat.";termékoldal;2026-09-20;200;HUF;890;3560;;igen;;Prio 1;A használatba vett gyerekzónában szükséges élvédelem ne maradjon későbbre.;"A helyszínen szükséges és a bútorhoz/szerelvényhez megfelelő védelem P1; nem automatikusan minden listázott darab.";
00-altalanos-hangulat;Babavédelem – sarokvédő;olcsóbb;UNDVIKA sarokvédő, fehér;IKEA;online + áruház (Budaörs, Örs vezér tere, Soroksár);fehér EVA műanyag hab, öntapadós szalag;8 db/csomag;1690;/csomag (8 db);2;3380;https://www.ikea.com/hu/hu/p/undvika-sarokvedo-feher-20349023/;"Nagyobb, puhább ütközőfelület, mint a szilikon gömböké; fehér bútoron (gyerekszoba, fürdő, háztartási) beleolvad. 8 db egy csomagban.";"Fehér: fa és kő felületen feltűnő, oda az átlátszó való. Csak sima (lakkozott, fóliázott, üveg, fém) felületen tapad; 48 órát kell hagyni terhelés nélkül; ragasztónyomot hagyhat.";termékoldal;2026-09-20;200;HUF;1690;3380;;igen;;Prio 1;A használatba vett gyerekzónában szükséges élvédelem ne maradjon későbbre.;"A helyszínen szükséges és a bútorhoz/szerelvényhez megfelelő védelem P1; nem automatikusan minden listázott darab.";
00-altalanos-hangulat;Babavédelem – szekrény-/fiókzár;ajánlott;Dreambaby Adhesive Mag Lock mágneses zár szett (4 zár + 1 kulcs);Gyerekbiztos.hu;"csak online (gyerekbiztos.hu; szállítás 1 290 Ft)";"műanyag zár mágneses kulccsal, a bútor BELSEJÉBE ragasztva (fúrás nélkül); kívülről láthatatlan";4 zár + 1 mágneskulcs + felrakósablon;8590;/szett;2;17180;https://www.gyerekbiztos.hu/magneses-zar-keszlet-fiokhoz-szekrenyekhez-5-reszes-656;Belül ülő, kívülről láthatatlan zár: a fa konyhafrontokon és a nappali alsó szekrényein nem jelenik meg műanyag pánt – a „zárt tárolás szemmagasság alatt” elv így esztétikusan teljesül. Kiiktatható, ha nincs rá szükség.;"A mágneskulcsot gyerek által nem elérhető, de fix helyen kell tartani (ha elvész, nehéz nyitni). Ragasztós rögzítés: zsírtalanított, sima belső felület kell; nagyon vastag frontnál a mágnes gyengébben old. Konyhához 2 szett kellhet.";termékoldal;2026-09-20;200;HUF;8590;17180;;igen;;Prio 1;A gyerek számára hozzáférhető, elzárandó tartalmak védelme induláskor szükséges.;"A helyszínen szükséges és a bútorhoz/szerelvényhez megfelelő védelem P1; nem automatikusan minden listázott darab.";
00-altalanos-hangulat;Babavédelem – szekrény-/fiókzár;olcsóbb;UNDVIKA többfunkciós zár, fehér;IKEA;online + áruház (Budaörs, Örs vezér tere, Soroksár);fehér poliamid műanyag heveder, acél részek, öntapadós szalag (egyenetlen felületen csavarral erősíthető);2 db/csomag;2290;/csomag (2 db);2;4580;https://www.ikea.com/hu/hu/p/undvika-toebbfunkcios-zar-feher-40339867/;"Hűtőre, fagyasztóra, fehér háztartási és fürdőszobai szekrényre jó, ahol a mágneses zár nem megoldás; fehér, fehér felületen alig látszik.";"Kívül látható pánt – fa frontra ne kerüljön. Egymás felé nyíló ajtópárra és sütőajtóra nem használható; a ragasztó nyomot hagyhat.";termékoldal;2026-09-20;200;HUF;2290;4580;;igen;;Prio 1;A gyerek számára hozzáférhető, elzárandó tartalmak védelme induláskor szükséges.;"A helyszínen szükséges és a bútorhoz/szerelvényhez megfelelő védelem P1; nem automatikusan minden listázott darab.";
00-altalanos-hangulat;Csúszásgátló szőnyeg alátét;ajánlott;STOPP FILT csúszásgátló szőnyeg alátét, 123x185 cm;IKEA;online (ikea.com/hu) + áruház (Budaörs);poliészter/PVC habszivacs, szürke;123x185 cm;2490;;3;7470;https://www.ikea.com/hu/hu/p/stopp-filt-csuszasgatlo-szonyeg-alatet-90550210/;A csempézett hall/konyha/étkező/nappali minden szőnyege alá kell csúszásgátló – ez a méret a kisebb-közepes (kb. 133x195-ös) szőnyegekhez illik, kisbabával kritikus balesetvédelmi elem.;Vágható, de a szőnyeg tényleges méreténél kb. 2 cm-rel kisebbre érdemes szabni.;termékoldal;2026-09-20;200;HUF;2490;7470;;igen;;Prio 2;"A halasztott szőnyeggel együtt vásárolható; önmagában nincs rá szükség.";Ha a szőnyeg már beköltözéskor használatba kerül és alátétet igényel, az alátét vele együtt P1.;
00-altalanos-hangulat;Csúszásgátló szőnyeg alátét;ajánlott;STOPP FILT csúszásgátló szőnyeg alátét, 165x235 cm;IKEA;online (ikea.com/hu) + áruház (Budaörs);poliészter/PVC habszivacs, szürke;165x235 cm;3490;;2;6980;https://www.ikea.com/hu/hu/p/stopp-filt-csuszasgatlo-szonyeg-alatet-90132261/;"A nappali nagyobb szőnyegéhez illő méret; ugyanaz a termékcsalád, mint a kisebb méret, így egységesen rendelhető a ház több szőnyege alá.";;termékoldal;2026-09-20;200;HUF;3490;6980;;igen;;Prio 2;"A halasztott szőnyeggel együtt vásárolható; önmagában nincs rá szükség.";Ha a szőnyeg már beköltözéskor használatba kerül és alátétet igényel, az alátét vele együtt P1.;
00-altalanos-hangulat;Csúszásgátló szőnyeg alátét;ajánlott;STOPP FILT csúszásgátló szőnyeg alátét, 190x280 cm;IKEA;online (ikea.com/hu) + áruház (Budaörs);poliészter/PVC habszivacs, szürke;190x280 cm;4490;;1;4490;https://www.ikea.com/hu/hu/p/stopp-filt-csuszasgatlo-szonyeg-alatet-20550204/;Legnagyobb elérhető méret a nappali/étkező legnagyobb szőnyegéhez, sand-beige csempén ez adja a legtöbb biztonságot kúszó-járni tanuló gyereknél.;;termékoldal;2026-09-20;200;HUF;4490;4490;;igen;;Prio 2;"A halasztott szőnyeggel együtt vásárolható; önmagában nincs rá szükség.";Ha a szőnyeg már beköltözéskor használatba kerül és alátétet igényel, az alátét vele együtt P1.;
